Size,Access Count
1,5
2,11
3,21
4,33
5,61
6,67
7,107
8,113
9,153
10,159
11,217
12,229
13,251
14,263
15,285
16,321
17,385
18,385
19,437
20,437
21,507
22,537
23,559
24,601
25,635
26,665
27,699
28,729
29,763
30,769
31,833
32,869
33,927
34,957
35,997
36,1021
37,1073
38,1085
39,1125
40,1137
41,1195
42,1207
43,1259
44,1283
45,1317
46,1383
47,1423
48,1441
49,1487
50,1577
51,1581
52,1635
53,1639
54,1663
55,1685
56,1745
57,1749
58,1821
59,1873
60,1927
61,1991
62,1973
63,2061
64,2097
65,2143
66,2173
67,2201
68,2237
69,2265
70,2301
71,2371
72,2401
73,2423
74,2489
75,2517
76,2547
77,2623
78,2659
79,2699
80,2687
81,2781
82,2793
83,2875
84,2881
85,2975
86,2987
87,3051
88,3123
89,3127
90,3193
91,3239
92,3281
93,3309
94,3375
95,3421
96,3439
97,3533
98,3521
99,3639
100,3675
