Size,Access Count
1,5
2,11
3,33
4,45
5,67
6,73
7,95
8,131
9,141
10,147
11,199
12,235
13,275
14,305
15,321
16,345
17,385
18,415
19,425
20,479
21,489
22,519
23,553
24,559
25,593
26,641
27,687
28,723
29,739
30,745
31,839
32,851
33,885
34,921
35,961
36,1003
37,1049
38,1079
39,1095
40,1119
41,1177
42,1207
43,1295
44,1313
45,1335
46,1395
47,1435
48,1501
49,1535
50,1559
51,1605
52,1671
53,1681
54,1717
55,1757
56,1805
57,1845
58,1887
59,1897
60,1993
61,1979
62,2051
63,2103
64,2115
65,2143
66,2185
67,2225
68,2267
69,2319
70,2355
71,2419
72,2413
73,2513
74,2573
75,2559
76,2619
77,2635
78,2665
79,2735
80,2759
81,2799
82,2883
83,2905
84,2971
85,2963
86,3053
87,3111
88,3165
89,3175
90,3235
91,3257
92,3293
93,3381
94,3387
95,3499
96,3553
97,3581
98,3617
99,3693
100,3717
101,3787
102,3787
103,3845
104,3881
105,3891
106,3981
107,3991
108,4045
109,4121
110,4115
111,4221
112,4293
113,4285
114,4333
115,4325
116,4427
117,4461
118,4479
119,4537
120,4573
121,4685
122,4697
123,4653
124,4749
125,4765
126,4789
127,4919
128,4883
129,4953
130,4935
131,4993
132,5119
133,5207
134,5177
135,5265
136,5229
137,5335
138,5395
139,5483
140,5495
141,5595
142,5631
143,5677
144,5683
145,5783
146,5801
147,5847
148,5853
149,5893
150,5983
151,6011
152,6143
153,6213
154,6243
155,6295
156,6397
157,6437
158,6449
159,6513
160,6549
161,6643
162,6733
163,6725
164,6701
165,6825
166,6825
167,6901
168,6943
169,7031
170,7151
171,7095
172,7155
173,7171
174,7219
175,7313
176,7367
177,7491
178,7479
179,7567
180,7603
181,7643
182,7739
183,7815
184,7851
185,7855
186,7879
187,7967
188,7997
189,8079
190,8145
191,8191
192,8275
193,8327
194,8351
195,8397
196,8445
197,8503
198,8647
199,8675
200,8699
201,8733
202,8769
203,8755
204,8821
205,8987
206,8999
207,9087
208,9105
209,9103
210,9187
211,9215
212,9209
213,9303
214,9381
215,9445
216,9541
217,9545
218,9515
219,9579
220,9633
221,9805
222,9829
223,9779
224,9869
225,9849
226,9927
227,10063
228,10045
229,10115
230,10151
231,10299
232,10311
233,10351
234,10429
235,10451
236,10499
237,10509
238,10653
239,10657
240,10681
241,10793
242,10757
243,10821
244,10911
245,10933
246,11047
247,11009
248,11111
249,11145
250,11205
251,11251
252,11245
253,11351
254,11387
255,11397
256,11457
257,11527
258,11455
259,11525
260,11645
261,11577
262,11601
263,11617
264,11881
