Size,Access Count
1,0
2,5
3,13
4,24
5,38
6,46
7,48
8,53
9,76
10,102
11,104
12,133
13,141
14,149
15,160
16,168
17,179
18,217
19,258
20,308
21,364
22,378
23,392
24,415
25,474
26,527
27,577
28,585
29,647
30,742
31,750
32,830
33,883
34,981
35,992
36,1027
37,1131
38,1172
39,1192
40,1296
41,1373
42,1432
43,1506
44,1580
45,1678
46,1710
47,1802
48,1885
49,1950
50,2003
51,2119
52,2241
53,2291
54,2410
55,2547
56,2681
57,2779
58,2799
59,2885
60,3022
61,3135
62,3185
63,3292
64,3318
65,3332
66,3436
67,3594
68,3647
69,3685
70,3888
71,3920
72,3967
73,4095
74,4166
75,4390
76,4581
77,4664
78,4810
79,4896
80,5000
81,5197
82,5265
83,5372
84,5497
85,5655
86,5834
87,6064
88,6198
89,6296
90,6487
91,6720
92,6848
93,6877
94,7062
95,7070
96,7222
97,7245
98,7385
99,7561
100,7845
