Size,Access Count
1,1
2,7
3,16
4,28
5,29
6,44
7,40
8,39
9,52
10,76
11,70
12,76
13,78
14,108
15,130
16,124
17,139
18,152
19,173
20,233
21,194
22,181
23,185
24,238
25,229
26,297
27,257
28,255
29,267
30,354
31,301
32,293
33,355
34,325
35,321
36,401
37,394
38,493
39,476
40,396
41,450
42,435
43,543
44,477
45,471
46,544
47,623
48,629
49,539
50,611
51,673
52,638
53,683
54,747
55,736
56,650
57,741
58,649
59,784
60,870
61,807
62,751
63,746
64,798
65,993
66,854
67,903
68,1037
69,1028
70,1104
71,1304
72,992
73,1095
74,842
75,928
76,1156
77,1106
78,1044
79,1118
80,1127
81,1031
82,1008
83,1195
84,1206
85,1293
86,1479
87,1711
88,1380
89,1135
90,1078
91,1177
92,1424
93,1585
94,1335
95,1393
96,1234
97,1368
98,1656
99,1641
100,1611
